Date,Invested Time,Approved Invested Time,Pay,Approved Pay
2023-01-01,520,520,2654,2654
2023-01-02,190,190,1111.18,1111.18
2023-01-03,330,330,836.55,836.55
2023-01-04,480,480,1216.8,1216.8
2023-01-05,430,430,764.82,764.82
2023-01-06,750,750,1901.25,1901.25
2023-01-07,450,450,1140.75,1140.75
2023-01-08,357,357,905,905
2023-01-09,250,250,633.75,633.75
2023-01-10,380,380,539.3299999999999,539.3299999999999
2023-01-11,290,290,735.15,735.15
2023-01-12,440,440,1115.4,1115.4
2023-01-13,260,260,659.1,659.1
2023-01-14,120,120,304.2,304.2
2023-01-15,110,110,278.85,278.85
2023-01-16,123,123,311.81,311.81
2023-01-17,170,170,430.95,430.95
2023-01-18,250,250,633.75,633.75
2023-01-19,320,320,811.2,811.2
2023-01-20,420,420,2246.93,2246.93
2023-01-21,500,500,1267.5,1267.5
2023-01-22,400,400,1014,1014
2023-01-23,750,750,1901.25,1901.25
2023-01-24,550,550,1394.25,1394.25
2023-01-25,300,300,760.5,760.5
2023-01-26,600,600,1521,1521
2023-01-27,450,450,1140.75,1140.75
2023-01-28,520,520,1318.2,1318.2
2023-01-29,390,390,988.65,988.65
2023-01-30,620,620,1571.7,1571.7
2023-01-31,470,470,1191.45,1191.45
2023-02-01,590,590,1495.65,1495.65
2023-02-02,410,410,1039.35,1039.35
2023-02-03,680,680,1723.8,1723.8
2023-02-04,530,530,1343.55,1343.55
2023-02-05,480,480,1216.8,1216.8
2023-02-06,550,550,1394.25,1394.25
2023-02-07,420,420,1064.7,1064.7
2023-02-08,610,610,1546.35,1546.35
2023-02-09,700,700,1774.5,1774.5
2023-02-10,890,890,2324.25,2324.25
2023-02-11,960,960,2433.6,2433.6
2023-02-12,770,770,1951.95,1951.95
2023-02-13,920,920,2332.2,2332.2
2023-02-14,680,680,1723.8,1723.8
2023-02-15,740,740,1875.9,1875.9
2023-02-16,890,890,2256.15,2256.15
2023-02-17,770,770,1951.95,1951.95
2023-02-18,920,920,2332.2,2332.2
2023-02-19,840,840,2129.4,2129.4
2023-02-20,980,980,2484.3,2484.3
2023-02-21,750,750,1901.25,1901.25
2023-02-22,890,890,2256.15,2256.15
2023-02-23,930,930,2357.55,2357.55
2023-02-24,870,870,2205.45,2205.45
2023-02-25,910,910,2306.85,2306.85
2023-02-26,850,850,2154.75,2154.75
2023-02-27,950,950,2408.25,2408.25
2023-02-28,870,870,2205.45,2205.45
2023-03-01,920,920,2332.2,2332.2
2023-03-02,965,965,2495.97,2495.97
2023-03-03,910,910,2359.48,2359.48
2023-03-04,920,920,2332.2,2332.2
2023-03-05,900,900,2200.19,2200.19
2023-03-06,910,910,2306.85,2306.85
2023-03-07,870,870,2205.45,2205.45
2023-03-08,830,830,2104.05,2104.05
2023-03-09,790,790,2002.65,2002.65
2023-03-10,820,820,2078.7,2078.7
2023-03-11,720,720,1825.2,1825.2
2023-03-12,680,680,1723.8,1723.8
2023-03-13,640,640,1622.4,1622.4
2023-03-14,700,700,1774.5,1774.5
2023-03-15,720,720,1825.2,1825.2
2023-03-16,680,680,1723.8,1723.8
2023-03-17,640,640,1622.4,1622.4
2023-03-18,620,620,1571.7,1571.7
2023-03-19,590,590,1495.65,1495.65
2023-03-20,1240,1240,1862.82,1862.82
2023-03-21,650,650,1647.75,1647.75
2023-03-22,620,620,1571.7,1571.7
2023-03-23,600,600,1521,1521
2023-03-24,580,580,1470.3,1470.3
2023-03-25,560,560,1419.6,1419.6
2023-03-26,560,560,1419.6,1419.6
2023-03-27,600,600,1521,1521
2023-03-28,590,590,1495.65,1495.65
2023-03-29,580,580,1470.3,1470.3
2023-03-30,620,620,1571.7,1571.7
2023-03-31,660,660,1673.1,1673.1
2023-04-01,700,700,1774.5,1774.5
2023-04-02,740,740,1875.9,1875.9
2023-04-03,780,780,1977.3,1977.3
2023-04-04,750,750,1901.25,1901.25
2023-04-05,760,760,1926.6,1926.6
2023-04-06,740,740,1875.9,1875.9
2023-04-07,710,710,1799.85,1799.85
2023-04-08,740,740,1875.9,1875.9
2023-04-09,760,760,1926.6,1926.6
2023-04-10,800,800,2028,2028
2023-04-11,820,820,2078.7,2078.7
2023-04-12,850,850,2154.75,2154.75
2023-04-13,920,920,1847.9699999999998,1847.9699999999998
2023-04-14,800,800,1606.94,1606.94
2023-04-15,850,850,1707.37,1707.37
2023-04-16,850,850,2154.75,2154.75
2023-04-17,850,850,2154.75,2154.75
2023-04-18,870,870,2205.45,2205.45
2023-04-19,860,860,2180.1,2180.1
2023-04-20,820,820,2214.9,2214.9
2023-04-21,880,880,2230.8,2230.8
2023-04-22,900,900,2281.5,2281.5
2023-04-23,890,890,2256.15,2256.15
2023-04-24,910,910,2306.85,2306.85
2023-04-25,930,930,2357.55,2357.55
2023-04-26,950,950,2408.25,2408.25
2023-04-27,970,970,2458.95,2458.95
2023-04-28,990,990,2509.65,2509.65
2023-04-29,950,950,2408.25,2408.25
2023-04-30,830,830,2444.55,2444.55
2023-05-01,970,970,2458.95,2458.95
2023-05-02,1250,1250,2640.26,2640.26
2023-05-03,1100,1100,2788.5,2788.5
2023-05-04,1000,1000,2535,2535
2023-05-05,980,980,2484.3,2484.3
2023-05-06,1050,1050,2661.75,2661.75
2023-05-07,1100,1100,2788.5,2788.5
2023-05-08,1300,1300,3295.5,3295.5
2023-05-09,1230,1230,3118.05,3118.05
2023-05-10,1104,1104,3316.5699999999997,3316.5699999999997
2023-05-11,1150,1150,2915.25,2915.25
2023-05-12,1270,1270,3219.45,3219.45
2023-05-13,1290,1290,3270.15,3270.15
2023-05-14,1250,1250,3168.75,3168.75
2023-05-15,1270,1270,3219.45,3219.45
2023-05-16,1350,1350,3422.25,3422.25
2023-05-17,1370,1370,3472.95,3472.95
2023-05-18,1390,1390,3523.65,3523.65
2023-05-19,1410,1410,3574.35,3574.35
2023-05-20,1380,1380,3498.3,3498.3
2023-05-21,1362,1362,3104.24,3104.24
2023-05-22,1320,1320,3346.2,3346.2
2023-05-23,1330,1330,3371.55,3371.55
2023-05-24,1400,1400,3549,3549
2023-05-25,1550,1550,3929.25,3929.25
2023-05-26,1450,1450,3675.75,3675.75
2023-05-27,1490,1490,3777.15,3777.15
2023-05-28,1460,1460,3701.1,3701.1
2023-05-29,1500,1500,3802.5,3802.5
2023-05-30,1430,1430,3625.05,3625.05
2023-05-31,1370,1370,3472.95,3472.95
2023-06-01,920,920,3376.4,3376.4
2023-06-02,1235,1235,3130.72,3130.72
2023-06-03,1300,1300,3295.5,3295.5
2023-06-04,1250,1250,3168.75,3168.75
2023-06-05,1100,1100,2788.5,2788.5
2023-06-06,1080,1080,2722.01,2722.01
2023-06-07,1020,1020,2575.17,2575.17
2023-06-08,1050,1050,2661.75,2661.75
2023-06-09,1165,1165,2945.38,2945.38
2023-06-10,1010,1010,2560.35,2560.35
2023-06-11,1025,1025,2574.69,2574.69
2023-06-12,1000,1000,2407.77,2407.77
2023-06-13,950,950,2313.57,2313.57
2023-06-14,1055,1055,2423.57,2423.57
2023-06-15,917,917,2144.43,2144.43
2023-06-16,988,988,2184.68,2184.68
2023-06-17,1029,1029,2235.58,2235.58
2023-06-18,988,988,2256.15,2256.15
2023-06-19,950,950,2408.25,2408.25
2023-06-20,900,900,2281.5,2281.5
2023-06-21,960,960,2433.6,2433.6
2023-06-22,910,910,2306.85,2306.85
2023-06-23,960,960,2433.6,2433.6
2023-06-24,900,900,2281.5,2281.5
2023-06-25,940,940,2382.9,2382.9
2023-06-26,970,970,2458.95,2458.95
2023-06-27,950,950,2408.25,2408.25
2023-06-28,980,980,2484.3,2484.3
2023-06-29,1020,1020,2585.7,2585.7
2023-06-30,1050,1050,2661.75,2661.75
2023-07-01,990,990,2509.65,2509.65
2023-07-02,1010,1010,2560.35,2560.35
2023-07-03,1050,1050,2661.75,2661.75
2023-07-04,1150,1150,2915.25,2915.25
2023-07-05,1200,1200,3042,3042
2023-07-06,1130,1130,2864.55,2864.55
2023-07-07,1100,1100,2788.5,2788.5
2023-07-08,1200,1200,3042,3042
2023-07-09,1250,1250,3168.75,3168.75
2023-07-10,1310,1300,3700.71,3642.23
2023-07-11,1100,1100,2788.5,2788.5
2023-07-12,1120,1120,2839.2,2839.2
2023-07-13,1200,1200,3042,3042
2023-07-14,1090,1090,2763.15,2763.15
2023-07-15,1150,1150,2915.25,2915.25
2023-07-16,1320,1320,3346.2,3346.2
2023-07-17,1350,1350,3422.25,3422.25
2023-07-18,1400,0,3549,0
2023-07-19,1440,0,3650.4,0
2023-07-20,1340,0,3315.59,0
2023-07-21,1430,0,3625.05,0
2023-07-22,1280,0,3244.8,0
2023-07-23,1390,0,3523.65,0
2023-07-24,1455,0,3730.65,0
2023-07-25,1540,0,3903.9,0
2023-07-26,1440,0,3650.4,0
2023-07-27,1640,0,4157.4,0
2023-07-28,1530,0,3878.55,0
2023-07-29,1740,0,4410.9,0
2023-07-30,1770,0,4486.95,0
2023-07-31,1730,0,4385.55,0
2023-08-01,1670,0,4233.45,0
2023-08-02,1740,0,4410.9,0
2023-08-03,1770,0,4486.95,0
2023-08-04,1730,0,4385.55,0
2023-08-05,1790,0,4537.65,0
2023-08-06,1840,0,4664.4,0
2023-08-07,1790,0,4537.65,0
2023-08-08,1830,0,4639.05,0
2023-08-09,1890,0,4791.15,0
2023-08-10,1830,0,4639.05,0
2023-08-11,1910,0,4841.85,0
2023-08-12,1960,0,4968.6,0
2023-08-13,1880,0,4765.8,0
2023-08-14,1900,0,4816.5,0
2023-08-15,1870,0,4740.45,0
2023-08-16,1890,0,4791.15,0
2023-08-17,1790,0,4537.65,0
2023-08-18,1840,0,4664.4,0
2023-08-19,1780,0,4512.3,0
2023-08-20,1740,0,4410.9,0
2023-08-21,1750,0,4436.25,0
2023-08-22,1790,0,4537.65,0
2023-08-23,1840,0,4664.4,0
2023-08-24,1880,0,4765.8,0
2023-08-25,1840,0,4664.4,0
2023-08-26,1800,0,4563,0
2023-08-27,1760,0,4461.6,0
2023-08-28,1680,0,4258.8,0
2023-08-29,1600,0,4056,0
2023-08-30,1660,0,4208.1,0
2023-08-31,1440,0,3650.4,0
2023-09-01,1380,0,3498.3,0
2023-09-02,1350,0,3422.25,0
2023-09-03,1340,0,3396.9,0
2023-09-04,1360,0,3447.6,0
2023-09-05,1320,0,3346.2,0
2023-09-06,1300,0,3295.5,0
2023-09-07,1320,0,3346.2,0
2023-09-08,1340,0,3396.9,0
2023-09-09,1280,0,3244.8,0
2023-09-10,1320,0,3346.2,0
2023-09-11,1310,0,3320.85,0
2023-09-12,1350,0,3422.25,0
2023-09-13,1400,0,3549,0
2023-09-14,1440,0,3650.4,0
2023-09-15,1360,0,3447.6,0
2023-09-16,1320,0,3346.2,0
2023-09-17,1280,0,3244.8,0
2023-09-18,1250,0,3168.75,0
2023-09-19,1270,0,3219.45,0
2023-09-20,1300,0,3295.5,0
2023-09-21,1280,0,3244.8,0
2023-09-22,1200,0,3042,0
2023-09-23,1250,0,3168.75,0
2023-09-24,1270,0,3219.45,0
2023-09-25,1300,0,3295.5,0
2023-09-26,1260,0,3194.1,0
2023-09-27,1220,0,3092.7,0
2023-09-28,1250,0,3168.75,0
2023-09-29,1240,0,3143.4,0
2023-09-30,1270,0,3219.45,0
2023-10-01,1300,0,3295.5,0
